id,常见名,学名,水域类型,适宜温度(℃),pH范围,成体体长(cm),性情,饮食,最小水体(L),可混养对象,照料难度,常见疾病,图片URL
1,霓虹灯鱼,Paracheirodon innesi,淡水,"24-27","6.0-7.0",3.5,温和群游,"杂食——微型薄片、丰年虾幼体",40,"小型温和鱼如灯鱼、斑马鱼、鼠鱼",容易,"霓虹灯病；白点病",
2,孔雀鱼,Poecilia reticulata,淡水,"23-28","6.8-7.8",4,温和活泼,"杂食——薄片、丰年虾",30,"其他卵胎生鱼、小型灯鱼",容易,"烂尾；白点病",
3,公斗鱼（泰国斗鱼）,Betta splendens,淡水,"25-28","6.5-7.5",6,领地性单独饲养,"肉食——斗鱼颗粒、红虫",20,"可与温顺底栖鱼隔层混养",中等,"烂尾；绒毛病",
4,斑马鱼,Danio rerio,淡水,"20-24","6.5-7.5",5,温和快游,"杂食——薄片、微虫",40,"灯鱼、鼠鱼、孔雀鱼",容易,"柱状病；白点病",
5,铜古比鼠鱼,Corydoras aeneus,淡水,"22-26","6.0-7.5",6,温和底栖群游,"杂食——下沉颗粒",60,"温和社区鱼",容易,"须条腐蚀；白点病",
6,月光鱼（皮球鱼）,Xiphophorus maculatus,淡水,"22-26","7.0-8.2",5,温和,"杂食——薄片、藻片",40,"孔雀鱼、斑马鱼",容易,"白点病；烂尾",
7,摩利鱼,Poecilia sphenops,半咸水/淡水,"22-28","7.0-8.5",6,温和,"杂食——藻片、蔬菜",75,"剑尾鱼、中型灯鱼",容易,"摇摆病；白点病",
8,剑尾鱼,Xiphophorus hellerii,淡水,"22-28","7.0-8.3",10,温和,"杂食",75,"月光鱼、摩利鱼、虹鱼",容易,"柱状病；白点病",
9,樱桃灯鱼,Puntius titteya,淡水,"23-27","6.0-7.0",5,温和群游,"杂食——薄片、小颗粒",40,"灯鱼、鼠鱼、斑马鱼",容易,"白点病；绒毛病",
10,三角灯鱼,Trigonostigma heteromorpha,淡水,"24-28","6.0-7.5",4,温和群游,"杂食——微型颗粒",40,"霓虹灯鱼、斗鱼（雌）",容易,"白点病",
11,酷丽鳅（库利鱼）,Pangio kuhlii,淡水,"24-28","5.5-7.0",10,胆小底栖,"杂食——下沉颗粒、红虫",75,"小型温和鱼",中等,"皮肤吸虫；白点病",
12,小精灵食藻鲶,Otocinclus affinis,淡水,"22-26","6.5-7.5",4,温和食藻,"草食——生物膜、烫蔬菜",40,"灯鱼、斑马鱼",中等,"饿死；白点病",
13,胡子短鲶,Ancistrus sp.,淡水,"23-27","6.5-7.5",12,温和食藻,"草食——藻片、蔬菜",80,"社区鱼；避开大型慈鲷",容易,"凹头病；白点病",
14,蜜蜂鱼（矮丝足鱼）,Trichogaster lalius,淡水,"24-28","6.0-7.5",7,温和（雄鱼护地）,"杂食——薄片、冻虫",60,"小型灯鱼、斑马鱼",中等,"虹彩病毒；绒毛病",
15,神仙鱼,Pterophyllum scalare,淡水,"26-29","6.8-7.8",15,半攻击性慈鲷,"杂食——薄片、冻虾",200,"中型灯鱼、鼠鱼；避免咬鳍鱼",中等,"烂尾；凹头病",
16,白云金丝鱼,Tanichthys albonubes,冷水,"18-24","6.5-7.5",4,温和群游,"杂食——薄片、微虫",30,"小型冷水鱼",容易,"白点病",
17,银河灯鱼,Danio margaritatus,淡水,"22-26","6.5-7.5",2.5,温和怕生,"杂食——微型颗粒",30,"小型虾、灯鱼",中等,"真菌感染",
18,霓虹矮虹鱼,Melanotaenia praecox,淡水,"23-27","7.0-8.0",6,活泼温和,"杂食——薄片、活饵",75,"月光鱼、斑马鱼",容易,"柱状病",
19,暹罗食藻鱼,Crossocheilus oblongus,淡水,"24-26","6.5-7.5",15,活跃食藻,"草食——藻、绿叶菜",120,"大多数社区鱼",容易,"红斑病",
20,单尾金鱼,Carassius auratus,冷水,"18-23","7.0-8.0",20,温和但排泄多,"杂食——颗粒、蔬菜",150,"同体型金鱼",容易,"烂尾；翻肚病"
